"sample","taxon_id","presence","site"
"01_04","g__Tylolaimophorus",0,1
"01_04","g__Veigaia",0,1
"01_04","g__Zeatylenchus",0,1
"01_04","o__Bdelloida",0,1
"01_04","o__Psocodea",0,1
"01_04","o__Rhabdocoela",0,1
"01_04","o__Tricladida",0,1
"01_04","s__Achipteria coleoptrata",0,1
"01_04","s__Acrochordonoposthia conica",0,1
"01_04","s__Aglenchus agricola",0,1
"01_04","s__Aphelenchus avenae",0,1
"01_04","s__Arion ater",0,1
"01_04","s__Atopochthonius artiodactylus",0,1
"01_04","s__Basiria duplexa",0,1
"01_04","s__Buchholzia appendiculata",0,1
"01_04","s__Catenula turgida",0,1
"01_04","s__Cernosvitoviella aggtelekiensis",0,1
"01_04","s__Cernosvitoviella atrata",0,1
"01_04","s__Cernosvitoviella minor",0,1
"01_04","s__Dicyrtomina saundersi",0,1
"01_04","s__Enchodeloides signyensis",0,1
"01_04","s__Enchytraeus crypticus",0,1
"01_04","s__Filenchus misellus",0,1
"01_04","s__Folsomia candida",0,1
"01_04","s__Gnathorhynchus inermis",0,1
"01_04","s__Howardula phyllotretae",0,1
"01_04","s__Hrabeiella periglandulata",0,1
"01_04","s__Hypochthonius rufulus",0,1
"01_04","s__Hypsibius dujardini",0,1
"01_04","s__Ichthydium skandicum",0,1
"01_04","s__Isotomiella minor",0,1
"01_04","s__Lepidodermella intermedia",0,1
"01_04","s__Macrobiotus hufelandi",0,1
"01_04","s__Microdalyellia armigera",0,1
"01_04","s__Microplana fuscomaculosa",0,1
"01_04","s__Microplana kwiskea",0,1
"01_04","s__Microplana terrestris",0,1
"01_04","s__Naiadacarus arboricola",0,1
"01_04","s__Neanura muscorum",0,1
"01_04","s__Nemastoma bimaculatum",0,1
"01_04","s__Olisthanella truncula",0,1
"01_04","s__Oppiella nova",1,1
"01_04","s__Proteroiulus fuscus",0,1
"01_04","s__Pseudosinella alba",0,1
"01_04","s__Richtersius coronifer",0,1
"01_04","s__Sminthurides aquaticus",0,1
"01_04","s__Steganacarus magnus",0,1
"01_04","s__Steinernema affine",0,1
"01_04","s__Steinernema glaseri",0,1
"01_04","s__Styloplanella strongylostomoides",0,1
"01_04","s__Tectocepheus velatus",0,1
"01_04","s__Teratocephalus lirellus",0,1
"01_04","s__Teratocephalus terrestris",0,1
"01_04","s__Tomocerus minor",0,1
"01_04","s__Trachytes baloghi",0,1
"01_04","s__Tullbergia yosii",0,1
"01_04","s__Weberacantha beckeri",0,1
"01_04","s__Xenillus tegeocranus",0,1
"01_05","f__Achromadoridae",0,1
"01_05","f__Alycidae",0,1
"01_05","f__Anystidae",0,1
"01_05","f__Bdellidae",0,1
"01_05","f__Brachychthoniidae",0,1
"01_05","f__Candonidae",0,1
"01_05","f__Catenulidae",0,1
"01_05","f__Eniochthoniidae",0,1
"01_05","f__Eulohmanniidae",0,1
"01_05","f__Euphthiracaridae",0,1
"01_05","f__Eviphididae",0,1
"01_05","f__Halacaridae",0,1
